firstName,regionOrigin,countryOriginAlt,subRegionOrigin,countryOrigin,countriesOriginTop
oliver,Europe,CH,Western Europe,DE,"DE,CH,EE,AT,DK,RS,RS,GB,SK,MK"
olivia,Europe,CH,Eastern Europe,SK,"SK,CH,MD,RO,NA,IE,MG,DE,IL,LR"
noah,Asia,KE,Western Asia,IL,"IL,KE,LR,MY,NA,TZ,NL,ZA,MG,BN"
amelia,Africa,IL,Western Africa,LR,"LR,IL,ID,GE,RO,NA,IE,TN,IT,SE"
jack,Africa,NL,Eastern Africa,KE,"KE,NL,GB,IE,DK,TZ,FR,IL,TW,LR"
charlotte,Europe,DK,Western Europe,FR,"FR,DK,CM,CH,BE,NL,IE,SE,GB,LB"
william,Europe,GB,Northern Europe,IE,"IE,GB,NL,KE,LR,DE,BE,NA,LB,TZ"
isla,Asia,AZ,Central Asia,UZ,"UZ,AZ,GB,EG,GE,IL,TM,JO,QA,NA"
henry,Europe,NL,Northern Europe,IE,"IE,NL,GB,DK,KE,LR,ID,FR,KH,NA"
ava,Asia,GE,Western Asia,IL,"IL,GE,BG,UZ,AM,AZ,UA,MD,SK,CZ"
leo,Europe,NL,Southern Europe,HR,"HR,NL,GE,IL,TW,NA,IT,BW,BE,ZA"
mia,Asia,SE,Western Asia,GE,"GE,SE,HR,DK,TW,IL,FI,EE,SK,NL"
lucas,Africa,NA,Eastern Africa,TZ,"TZ,NA,KE,FR,CH,NL,CZ,BE,CM,DE"
grace,Africa,GB,Eastern Africa,KE,"KE,GB,LR,IE,TZ,CM,BW,NA,TD,CF"
theodore,Africa,FR,Middle Africa,CM,"CM,FR,BF,BE,TD,ZA,CI,NL,MG,CF"
chloe,Europe,GB,Western Europe,FR,"FR,GB,TW,CY,BE,IE,CH,KR,MY,ZA"
levi,Asia,GE,Western Asia,IL,"IL,GE,NA,FI,EE,ID,BE,KE,HU,TW"
matilda,Europe,GE,Northern Europe,SE,"SE,GE,IE,SK,IL,NA,HR,TZ,SI,ZA"
liam,Europe,GB,Northern Europe,IE,"IE,GB,IL,NL,GE,AM,MY,NA,BE,TW"
ella,Asia,IE,Western Asia,AZ,"AZ,IE,IL,CY,SE,RU,GB,NL,NA,FI"
elijah,Africa,LR,Eastern Africa,KE,"KE,LR,IL,NA,IE,TZ,GB,ID,MY,LB"
sienna,Asia,NL,South-Eastern Asia,KH,"KH,NL,IL,NA,MY,LR,BG,BF,FI,ZA"
thomas,Europe,DK,Western Europe,AT,"AT,DK,DE,SE,IE,CH,NO,BE,NA,GB"
sophia,Asia,GE,Western Asia,CY,"CY,GE,TZ,KH,IL,NA,KE,SE,GB,IE"
charlie,Europe,CM,Western Europe,FR,"FR,CM,GB,IE,TW,SE,NL,BE,DK,LB"
isabella,Europe,IT,Northern Europe,GB,"GB,IT,IE,AZ,SE,IL,CH,KE,NA,AT"
archie,Africa,GB,Western Africa,LR,"LR,GB,IE,CM,GE,NL,IL,ZA,CI,NA"
willow,Africa,GB,Southern Africa,NA,"NA,GB,TW,MY,KE,ZA,NL,LR,IE,MM"
hudson,Africa,TW,Eastern Africa,KE,"KE,TW,TZ,UZ,GB,NA,VN,IS,KH,MG"
lily,Europe,GB,Northern Europe,IE,"IE,GB,KE,UA,AM,RU,TW,BG,ID,MY"
luca,Europe,RO,Southern Europe,IT,"IT,RO,HR,CH,MD,CZ,NL,SK,TZ,HU"
zoe,Africa,GB,Southern Africa,ZA,"ZA,GB,MM,LR,BF,TW,MG,CY,HU,NL"
alexander,Europe,BY,Eastern Europe,RU,"RU,BY,UA,UZ,BG,AT,SK,DE,MD,GB"
evie,Asia,BE,South-Eastern Asia,ID,"ID,BE,NL,IL,CY,CM,GB,CZ,FR,NA"
james,Africa,GB,Eastern Africa,KE,"KE,GB,IE,LR,TZ,NA,FR,LB,NL,TW"
harper,Europe,TR,Western Europe,NL,"NL,TR,DK,NO,SE,LR,IS,IL,AF,AM"
ethan,Europe,IE,Northern Europe,GB,"GB,IE,IL,TW,FR,TR,ET,AZ,KH,NA"
audrey,Europe,GB,Western Europe,FR,"FR,GB,CM,RU,BE,KE,NL,IE,BY,IL"
lachlan,Asia,GB,Western Asia,AZ,"AZ,GB,BG,TM,GE,UZ,KH,IL,RO,HU"
sophie,Europe,BE,Western Europe,FR,"FR,BE,GB,IL,KH,NL,CM,SE,GE,BF"
oscar,Europe,IL,Northern Europe,SE,"SE,IL,KE,TZ,NO,NL,NA,DE,CM,UZ"
evelyn,Africa,LR,Eastern Africa,KE,"KE,LR,IE,GB,EE,IL,NL,AT,BE,CH"
harrison,Africa,LR,Eastern Africa,KE,"KE,LR,GB,MG,IE,NL,TZ,IL,NA,ID"
