firstName,regionOrigin,countryOriginAlt,subRegionOrigin,countryOrigin,countriesOriginTop
susan,Europe,IE,Northern Europe,GB,"GB,IE,KE,AZ,DK,NL,AM,ID,SE,GE"
mary,Europe,KE,Northern Europe,IE,"IE,KE,GB,LR,TZ,IL,NL,MG,NA,AM"
karen,Asia,DK,Western Asia,AM,"AM,DK,GB,NO,BE,NL,EE,DE,IE,TW"
cynthia,Africa,KE,Western Africa,LR,"LR,KE,NL,ZA,LB,TW,NA,CM,CH,GB"
lisa,Europe,NL,Northern Europe,SE,"SE,NL,ZA,GB,RU,AT,ID,IE,DK,NA"
linda,Europe,ZA,Northern Europe,SE,"SE,ZA,NL,NA,CZ,ID,IL,GB,NO,GE"
debra,Europe,ET,Northern Europe,GB,"GB,ET,ZA,IE,NL,BG,KE,ID,TZ,IL"
patricia,Europe,IE,Eastern Europe,SK,"SK,IE,CH,LR,KE,IT,NA,SE,FR,BE"
deborah,Europe,GB,Northern Europe,IE,"IE,GB,LR,KE,CH,TZ,IL,NL,ID,FR"
sandra,Europe,RS,Southern Europe,RS,"RS,RS,AT,CH,LK,NL,RO,IN,HU,HR"
laura,Europe,GE,Eastern Europe,RO,"RO,GE,FI,LT,IT,EE,HR,NL,GB,KZ"
elizabet,Africa,IL,Eastern Africa,ET,"ET,IL,AZ,GE,SE,BG,KE,EE,KZ,IS"
pamela,Europe,GB,Southern Europe,IT,"IT,GB,BG,KE,GE,ZA,CH,NA,IL,IE"
donna,Europe,IE,Northern Europe,GB,"GB,IE,BG,IL,ID,NA,UZ,NL,GE,IT"
kathleen,Europe,BE,Northern Europe,IE,"IE,BE,GB,DE,DK,NL,EE,NA,KE,NO"
lori,Asia,IL,Western Asia,GE,"GE,IL,RO,GB,MD,ZA,HR,HU,AM,IT"
kimberly,Europe,NL,Northern Europe,GB,"GB,NL,KH,BE,KE,NA,TW,ZA,VN,MY"
teresa,Europe,CZ,Northern Europe,IE,"IE,CZ,FI,GE,ET,GB,SK,LR,KE,ZA"
julie,Europe,BE,Western Europe,FR,"FR,BE,CM,GB,DK,IE,CZ,MG,NL,CH"
cheryl,Europe,TW,Northern Europe,GB,"GB,TW,KE,MY,IL,ZA,NL,NA,CM,KH"
barbara,Europe,PL,Eastern Europe,CZ,"CZ,PL,SI,AT,HU,IL,CH,GE,IT,NL"
nancy,Africa,LR,Eastern Africa,KE,"KE,LR,BE,NA,IE,EG,LB,GB,NL,MG"
denise,Europe,CH,Western Europe,FR,"FR,CH,IE,NL,CM,GB,BE,DK,TR,KE"
christin,Europe,DE,Western Europe,AT,"AT,DE,SE,FR,CM,CH,NO,DK,GB,BG"
carol,Europe,KE,Northern Europe,GB,"GB,KE,IE,CM,CH,LB,NL,IL,BE,SE"
michael,Europe,DE,Western Europe,AT,"AT,DE,DK,CH,CZ,IE,FR,KE,NL,SE"
david,Europe,GB,Eastern Europe,CZ,"CZ,GB,KE,AM,IE,GE,CH,BE,SE,CM"
